"380,505","440,931","426,135","419,822","456,228","434,876","444,652","464,987","492,149","434,876","511,716","583,525","582,391"
"92,513","235,214","130,869","116,604","143,499","100,267","57,403","48,334","55,445","100,267","54,402","55,149","52,310"
"10,198","10,173","12,502","43,999","43,411","42,330","69,050","36,892","44,159","42,330","46,097","44,896","26,937"
"619,197","730,437","731,750","845,518","862,957","922,736","855,092","722,905","746,341","922,736","572,588","506,595","492,281"
"2,317","2,759","3,278","3,914","3,219","2,932","3,809","3,566","4,044","2,932","2,950","3,407","5,044"
"90,205","94,865","96,682","87,438","101,111","106,554","102,462","99,574","105,845","106,554","113,065","110,474","111,387"
"3,004,296","3,583,494","3,466,799","3,949,283","4,201,649","4,322,562","4,294,330","4,375,097","4,485,036","4,322,562","4,183,624","4,470,225","4,511,259"
"832,933","912,487","827,805","853,380","929,428","894,894","975,259","959,143","994,343","894,894","1,232,118","1,242,529","1,330,023"
"16,803","22,349","24,798","25,422","27,289","26,482","35,029","26,380","29,103","26,482","27,477","36,865","23,392"
"30,858","41,549","54,202","56,411","53,244","44,479","105,263","102,332","119,026","44,479","142,489","111,853","90,910"
"541,959","653,099","711,474","716,565","826,152","823,373","942,380","678,771","392,008","823,373","472,104","370,836","370,190"
"33,995","31,585","27,571","26,019","26,864","31,273","35,118","29,111","33,511","31,273","39,421","31,571","36,192"
"395,306","689,481","634,250","636,409","804,656","535,186","24,400","23,627","14,035","535,186","12,297","12,679","17,125"
"350,731","377,096","406,210","464,542","495,240","508,362","469,718","476,053","511,811","508,362","547,535","550,555","546,324"
"3,551","3,584","4,491","4,335","5,022","5,294","5,085","3,923","4,679","5,294","8,072","8,015","6,283"
"1,489,366","1,687,970","1,610,982","1,681,440","1,782,748","1,853,340","1,770,892","1,942,326","1,945,952","1,853,340","2,409,155","2,422,962","2,233,216"
"27,049","31,775","37,788","36,069","32,832","27,552","38,016","39,621","39,560","27,552","46,334","41,227","48,048"
"1,474,683","1,839,590","2,045,788","2,157,378","2,143,718","2,423,334","2,343,315","2,471,258","2,524,649","2,423,334","2,689,915","2,650,066","2,728,605"
"342,002","547,674","469,021","486,707","509,393","632,495","624,672","598,071","632,316","632,495","666,235","679,040","738,264"
"68,722","124,823","47,973","82,354","42,256","58,877","73,283","63,135","78,169","58,877","89,619","75,920","72,572"
"1,738","2,155","3,450","3,150","3,036","3,807","4,947","1,743","5,440","3,807","2,470","1,623","2,274"
"102,541","99,818","100,955","110,008","122,113","124,442","117,677","134,160","146,371","124,442","193,627","220,523","205,312"
"2,828,058","4,031,233","3,452,689","3,420,060","3,779,027","3,641,869","2,180,096","2,374,926","2,601,626","3,641,869","2,882,041","2,816,040","2,864,324"
"135,536","166,377","219,282","152,619","155,216","143,700","203,272","190,962","244,732","143,700","283,289","413,898","427,045"
"28,574","30,637","32,967","33,046","34,669","35,943","36,031","44,854","60,824","35,943","65,172","59,695","53,485"
"30,064","32,416","35,308","36,327","32,008","30,492","48,401","35,744","33,657","30,492","34,049","28,386","21,449"
"21,921,863","26,041,553","26,390,315","27,254,845","29,449,997","28,839,539","25,238,104","25,167,915","26,202,678","28,839,539","28,411,035","27,732,587","27,913,485"
